org_name,org_code,division,district,upazila,org_lvl,LAT,LON,wt
"Chunarughat Upazila Health Complex, Hobigonj.",10002078,Sylhet,Habiganj,Chunarughat,subdistrict,24.1993876,91.51859309999999,3199.3969373767172
Comilla General Hospital,10000864,Chattogram,Cumilla,Cumilla Adarsha Sadar,district,23.4499746,91.1782827,6859.412454737029
Comilla Sadar Daxin Upazila Health Complex,10000862,Chattogram,Cumilla,Cumilla Sadar Dakshin,subdistrict,23.4547096,91.1812348,7660.924634105291
Companiganj Upazila Health Complex,10001033,Chattogram,Noakhali,Companiganj,subdistrict,25.0855552,91.7566198,1887.9363731667777
Companiganj Upazila Health Complex,10002209,Sylhet,Sylhet,Companiganj,subdistrict,25.0855552,91.7566198,1887.9363731667777
Cox's Bazar 250 Bed District Sadar Hospital,10000922,Chattogram,Cox's Bazar,Cox's Bazar Sadar,district,21.4409036,91.9766003,3070.242687041353
Cumilla Medical College Hospital,10000867,Chattogram,Cumilla,Cumilla Adarsha Sadar,tertiary,23.4515415,91.2029603,5891.376137624168
Dacope Upazila Health Complex,10001794,Khulna,Khulna,Dacope,subdistrict,22.5994035,89.5176149,2392.120229502132
Daganbhuiya Upazila Health Complex,10000946,Chattogram,Feni,Daganbhuiyan,subdistrict,22.8501032,91.39655979999999,2763.591843374408
Dakhin Surma Upazila Health Complex,10002243,Sylhet,Sylhet,Dakshin Surma,subdistrict,24.8292266,91.9010356,5775.976435122469
Dakshin Sunamganj Upazila Health Complex,10002134,Sylhet,Sunamganj,Dakshin Sunamganj,subdistrict,25.0658556,91.4094135,4110.755096403419
Damudya Upazila Health Complex,10000544,Dhaka,Shariatpur,Damudya,subdistrict,23.1379536,90.44286699999999,3439.186425880283
Damurhuda Upazila Health Complex,10001731,Khulna,Chuadanga,Damurhuda,subdistrict,23.613707,88.7635289,3518.5490578557938
Dashmina Upazila Health Complex,10002034,Barishal,Patuakhali,Dashmina,subdistrict,22.2825494,90.5645059,1606.3765373045912
Daudkandi Upazila Health Complex,10000875,Chattogram,Cumilla,Daudkandi,subdistrict,23.5297817,90.7834439,3660.1845432041036
Daulatkhan Upazila Health Complex,10002008,Barishal,Bhola,Daulatkhan,subdistrict,22.6051058,90.7458551,8781.998860499061
Daulatpur Upazila Health Complex,10000277,Dhaka,Manikganj,Daulatpur,subdistrict,23.9663768,89.82928489999999,2582.121904024124
Daulatpur Upazila Health Complex,10002214,Khulna,Kushtia,Daulatpur,subdistrict,23.9663768,89.82928489999999,2582.121904024124
Debidwar Upazila Health Complex,10000883,Chattogram,Cumilla,Debidwar,subdistrict,23.6035733,90.9883407,6230.64280253034
Debiganj Upazila Health Complex,10001506,Rangpur,Panchagarh,Debiganj,subdistrict,26.1163162,88.7557933,2244.5585973463026
Delduar Upazila Health Complex,10000591,Dhaka,Tangail,Delduar,subdistrict,24.1641829,89.96865939999999,3608.6553198335696
Derai Upazila Health Complex,10002136,Sylhet,Sunamganj,Derai,subdistrict,24.8473266,91.2339315,1655.151001102638
Dewanganj Upazila Health Complex,10000191,Mymensingh,Jamalpur,Dewanganj,subdistrict,25.1617691,89.75889869999999,3263.7675315144584
Dhaka Medical College Hospital,10000033,Dhaka,Dhaka,Shahbagh,tertiary,23.7256553,90.3970882,9576.63105197393
Dhamrai Upazila Health Complex,10000064,Dhaka,Dhaka,Dhamrai,subdistrict,23.9135162,90.2275441,7867.223884680242
Dhanbari Upazila Health Complex,10000595,Dhaka,Tangail,Dhanbari,subdistrict,24.6898613,89.9542883,3704.0881358929005
