sim,division,org_lvl,org_name,org_code,district,upazila,LAT,LON
9,Khulna,district,Narail District Hospital,10001913,Narail,Narail Sadar,23.1721187,89.49930669999999
9,Khulna,subdistrict,Mohammadpur Upazila Health Complex,10001882,Magura,Mohammadpur,23.3996622,89.582769
9,Khulna,subdistrict,Dighalia Upazila Health Complex,10001797,Khulna,Dighalia,22.8730466,89.52459859999999
9,Mymensingh,tertiary,Mymensingh Medical College Hospital,10000397,Mymensingh,Mymensingh Sadar,24.7415322,90.4089228
9,Rajshahi,district,Joypurhat District Hospital,10001298,Joypurhat,Joypurhat Sadar,25.0916036,89.0489814
9,Rajshahi,district,Chapai Nababganj District Hospital,10001186,Chapai Nawabganj,Chapai Nababganj Sadar,24.5980828,88.26547479999999
9,Rangpur,district,Thakurgaon District Hospital,10001687,Thakurgaon,Thakurgaon Sadar,26.0190812,88.4669352
9,Sylhet,district,Sylhet Shahid Shamsuddin Ahmed District Hospital,10002196,Sylhet,Sylhet Sadar,24.8991849,91.86724
9,Sylhet,subdistrict,Kanaighat Upazila Health Complex,10002189,Sylhet,Kanaighat,25.0120631,92.2558595
10,Barishal,district,Bhola District Hospital,10002002,Bhola,Bhola Sadar,22.6757402,90.6557361
10,Barishal,district,Pirojpur District Hospital,10002067,Pirojpur,Pirojpur Sadar,22.5789637,89.97664499999999
10,Barishal,subdistrict,Kathalia Upazila Health Complex,10002027,Jhalokathi,Kanthalia,22.3520173,90.0802212
10,Chattogram,district,Chittagong 250 Bed General Hospital,10000753,Chattogram,Kotwali,22.3406339,91.8377319
10,Chattogram,subdistrict,Titas Upazila Health Complex,10000914,Cumilla,Titas,23.595969,90.79633439999999
10,Chattogram,subdistrict,Sonagazi Upazila Health Complex,10000969,Feni,Sonagazi,22.8501032,91.39655979999999
10,Dhaka,district,Kishoreganj 250 Bed District Sadar Hospital,10000243,Kishoreganj,Kishoreganj Sadar,24.4331227,90.7865655
10,Dhaka,district,Narsingdi District Hospital,10000452,Narsingdi,Narsingdi Sadar,23.9299304,90.7026636
10,Dhaka,tertiary,Shaheed Ahsan Ullah Master General Hospital,10000129,Gazipur,Gazipur Sadar,23.8933902,90.4022109
10,Dhaka,tertiary,Shaheed Suhrawardy Medical College Hospital,10000051,Dhaka,Sher-e-bangla Nagar,23.7692146,90.3713616
10,Dhaka,tertiary,Faridpur Medical College Hospital,10000108,Faridpur,Faridpur Sadar,23.5880489,89.8352342
10,Khulna,district,Jhenaidah District Hospital,10001776,Jhenaidah,Jhenaidah Sadar,23.5306696,89.17223659999999
10,Khulna,district,Chuadanga District Hospital,10001723,Chuadanga,Chuadanga Sadar,23.617779,88.8733006
10,Khulna,district,Bagerhat District Hospital,10001693,Bagerhat,Bagerhat Sadar,22.7955887,89.8726916
10,Khulna,district,Jassore 250 bed General Hospital,10013096,Jashore,Jashore Sadar,23.1687959,89.20915869999999
10,Khulna,tertiary,Khulna Medical College Hospital,10001807,Khulna,Sonadanga,22.8281662,89.5371409
10,Mymensingh,district,Sherpur District Hospital,10000576,Sherpur,Sherpur Sadar,25.0182375,90.024633
10,Rajshahi,district,Chapai Nababganj District Hospital,10001186,Chapai Nawabganj,Chapai Nababganj Sadar,24.5980828,88.26547479999999
10,Rajshahi,subdistrict,Ullapara Upazila Health Complex,10001667,Sirajganj,Ullahpara,24.3374458,89.5313268
10,Rangpur,district,Nilphamari District Hospital,10001464,Nilphamari,Nilphamari Sadar,25.9490764,88.8358417
10,Sylhet,subdistrict,Derai Upazila Health Complex,10002136,Sunamganj,Derai,24.8473266,91.2339315
10,Sylhet,subdistrict,Dakhin Surma Upazila Health Complex,10002243,Sylhet,Dakshin Surma,24.8292266,91.9010356
11,Barishal,district,Jhalokathi District Hospital,10002025,Jhalokathi,Jhalokathi Sadar,22.6863517,90.3614666
11,Barishal,district,Patuakhali 250 bed Sadar Hospital,10002051,Patuakhali,Patuakhali Sadar,22.3622664,90.3269921
11,Barishal,subdistrict,Gournadi Upazila Health Complex,10001982,Barishal,Gaurnadi,22.9619447,90.2259318
11,Chattogram,district,Rangamati General Hospital,10001088,Rangamati,Rangamati Sadar,22.6580983,92.1685304
11,Chattogram,subdistrict,Ramu Upazila Health Complex,10000931,Cox's Bazar,Ramu,21.4448546,92.1000821
11,Chattogram,tertiary,Cumilla Medical College Hospital,10000867,Cumilla,Cumilla Adarsha Sadar,23.4515415,91.2029603
11,Dhaka,district,Munshiganj 250 bed District Hospital,10000328,Munshiganj,Munshiganj Sadar,23.4980931,90.41266209999999
11,Dhaka,district,Madaripur District Hospital,10000263,Madaripur,Madaripur Sadar,23.1653896,90.21206480000001
11,Dhaka,district,Kishoreganj 250 Bed District Sadar Hospital,10000243,Kishoreganj,Kishoreganj Sadar,24.4331227,90.7865655
11,Dhaka,district,Gopalganj 250 bed General Hospital,10002233,Gopalganj,Gopalganj Sadar,22.9982121,89.8190072
